pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-258 b,Kepler-258,Transit,2014,642.0
K2-8 c,K2-8,Transit,2016,801.0
Kepler-849 b,Kepler-849,Transit,2016,362.7
WASP-8 b,WASP-8,Transit,2010,1059.0
Kepler-92 b,Kepler-92,Transit,2013,975.0
Kepler-1339 b,Kepler-1339,Transit,2016,1642.0
HD 17674 b,HD 17674,Radial Velocity,2017,
OGLE-2018-BLG-1367L b,OGLE-2018-BLG-1367L,Microlensing,2022,
HD 106252 b,HD 106252,Radial Velocity,2002,
Kepler-405 c,Kepler-405,Transit,2014,557.0
HD 102956 b,HD 102956,Radial Velocity,2010,
K2-128 b,K2-128,Transit,2017,
TOI-139 b,TOI-139,Transit,2023,561.17
K2-223 b,K2-223,Transit,2018,2271.0
GJ 508.2 b,GJ 508.2,Radial Velocity,2025,
Kepler-244 b,Kepler-244,Transit,2014,1038.0
Kepler-1065 c,Kepler-1065,Transit,2016,1256.0
KMT-2024-BLG-1209L b,KMT-2024-BLG-1209L,Microlensing,2025,
TOI-4087 b,TOI-4087,Transit,2023,1458.0
TOI-6086 b,TOI-6086,Transit,2024,634.0
Kepler-46 b,Kepler-46,Transit,2012,543.0
OGLE-2015-BLG-1771L b,OGLE-2015-BLG-1771L,Microlensing,2020,
HIP 38594 c,HIP 38594,Radial Velocity,2020,
TOI-3071 b,TOI-3071,Transit,2024,2155.0
HD 178911 B b,HD 178911 B,Radial Velocity,2001,
Kepler-145 c,Kepler-145,Transit,2013,709.0
HAT-P-66 b,HAT-P-66,Transit,2016,1896.0
GJ 682 c,GJ 682,Radial Velocity,2014,
Kepler-144 b,Kepler-144,Transit,2014,1253.0
Kepler-251 e,Kepler-251,Transit,2014,360.0
HD 101581 c,HIP 56998,Transit,2025,747.0
HD 20329 b,HD 20329,Transit,2022,2141.0
TOI-406.01,TOI-406,Transit,2024,368.0
HD 216437 b,HD 216437,Radial Velocity,2002,
Kepler-1658 b,Kepler-1658,Transit,2019,2034.0
Kepler-1292 b,Kepler-1292,Transit,2016,1195.0
Kepler-196 d,Kepler-196,Transit,2021,297.0
Kepler-549 d,Kepler-549,Transit,2023,586.0
HIP 65 A b,HIP 65 A,Transit,2020,1411.0
Kepler-235 e,Kepler-235,Transit,2014,306.0
Kepler-1906 b,Kepler-1906,Transit,2021,901.0
HD 40307 c,HD 40307,Radial Velocity,2009,696.0
GJ 876 e,GJ 876,Radial Velocity,2010,
Kepler-1013 b,Kepler-1013,Transit,2016,766.0
TOI-1052 c,TOI-1052,Radial Velocity,2023,719.0
HAT-P-29 b,HAT-P-29,Transit,2011,1271.0
YZ Cet c,YZ Cet,Radial Velocity,2017,410.3
Kepler-434 b,Kepler-434,Transit,2015,1000.0
Kepler-451 d,2MASS J19383260+4603591,Eclipse Timing Variations,2022,
HD 11755 b,HD 11755,Radial Velocity,2015,
Kepler-405 b,Kepler-405,Transit,2014,785.0
Kepler-1883 b,Kepler-1883,Transit,2021,416.0
Kepler-1471 b,Kepler-1471,Transit,2016,1238.0
Kepler-313 b,Kepler-313,Transit,2014,883.0
HD 210702 b,HD 210702,Radial Velocity,2007,
BD-11 4672 c,BD-11 4672,Radial Velocity,2020,
Kepler-1442 b,Kepler-1442,Transit,2016,522.0
Kepler-1421 b,Kepler-1421,Transit,2016,1209.0
Kepler-292 d,Kepler-292,Transit,2014,808.0
Kepler-1660 AB b,Kepler-1660 A,Eclipse Timing Variations,2023,
V1298 Tau e,V1298 Tau,Transit,2019,492.0
HD 47186 c,HD 47186,Radial Velocity,2008,
WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,Imaging,2012,450.0
HD 36384 b,HD 36384,Radial Velocity,2023,
Kepler-692 b,Kepler-692,Transit,2016,639.0
EPIC 206042996 b,EPIC 206042996,Transit,2019,
TIC 139270665 b,TIC 139270665,Transit,2024,703.0
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,Microlensing,2013,
Kepler-1372 b,Kepler-1372,Transit,2016,1655.0
Kepler-1193 b,Kepler-1193,Transit,2016,1453.0
HD 75784 c,HD 75784,Radial Velocity,2018,
Kepler-84 f,Kepler-84,Transit,2014,572.0
Kepler-205 c,Kepler-205,Transit,2014,389.0
Kepler-1507 b,Kepler-1507,Transit,2016,630.0
Kepler-838 b,Kepler-838,Transit,2016,777.0
Kepler-702 b,Kepler-702,Transit,2016,713.0
K2-417 b,K2-417,Transit,2023,558.0
81 Cet b,81 Cet,Radial Velocity,2008,
K2-332 b,K2-332,Transit,2021,266.0
Kepler-1058 b,Kepler-1058,Transit,2016,239.0
TOI-4214 b,TOI-4214,Transit,2025,1642.0
Kepler-391 b,Kepler-391,Transit,2014,930.0
Kepler-698 b,Kepler-698,Transit,2016,727.0
Kepler-186 c,Kepler-186,Transit,2014,464.0
TOI-1794 b,TOI-1794,Transit,2024,992.91
TOI-3877 b,TOI-3877,Transit,2025,1445.0
Kepler-339 b,Kepler-339,Transit,2014,1023.0
K2-228 b,K2-228,Transit,2018,914.0
Kepler-409 b,Kepler-409,Transit,2014,438.0
Kepler-273 b,Kepler-273,Transit,2014,1209.0
HIP 41378 b,HIP 41378,Transit,2016,959.0
Kepler-1805 b,Kepler-1805,Transit,2021,479.0
HD 158259 f,HD 158259,Radial Velocity,2020,
TOI-261.01,TOI-261,Transit,2024,1722.49
TOI-1201 b,TOI-1201,Transit,2021,703.0
Kepler-636 b,Kepler-636,Transit,2016,614.0
Kepler-1914 b,Kepler-1914,Transit,2021,585.0
HD 200964 b,HD 200964,Radial Velocity,2010,
K2-286 b,K2-286,Transit,2018,347.0
Kepler-370 b,Kepler-370,Transit,2014,1040.0
TOI-125 b,TOI-125,Transit,2019,1037.0
TOI-559 b,TOI-559,Transit,2021,1180.0
pi Men c,HD 39091,Transit,2018,1169.8
