pl_name,hostname,discoverymethod,disc_year,pl_eqt
Kepler-1546 b,Kepler-1546,Transit,2016,671
Kepler-123 b,Kepler-123,Transit,2014,817
Kepler-1890 b,Kepler-1890,Transit,2021,1328
Kepler-1288 b,Kepler-1288,Transit,2016,2017
Kepler-1030 b,Kepler-1030,Transit,2016,529
Kepler-112 b,Kepler-112,Transit,2014,809
Kepler-581 b,Kepler-581,Transit,2016,521
Kepler-1261 b,Kepler-1261,Transit,2016,396
Kepler-1077 b,Kepler-1077,Transit,2016,576
TOI-815 c,TOI-815,Transit,2024,469
Kepler-1451 b,Kepler-1451,Transit,2016,523
Kepler-190 c,Kepler-190,Transit,2014,948
Kepler-1431 b,Kepler-1431,Transit,2016,1064
Kepler-1132 b,Kepler-1132,Transit,2016,384
HD 260655 b,HD 260655,Transit,2022,709
Kepler-216 c,Kepler-216,Transit,2014,814
CoRoT-13 b,CoRoT-13,Transit,2010,1700
WASP-171 b,WASP-171,Transit,2019,1642
Kepler-80 c,Kepler-80,Transit,2012,495
HR 2562 b,HR 2562,Imaging,2016,1255
HATS-49 b,HATS-49,Transit,2020,834.8
Kepler-925 b,Kepler-925,Transit,2016,394
Kepler-1804 b,Kepler-1804,Transit,2021,913
Kepler-1631 b,Kepler-1631,Transit,2016,1122
Kepler-1893 b,Kepler-1893,Transit,2021,1194
KELT-12 b,KELT-12,Transit,2017,1800
Kepler-267 d,Kepler-267,Transit,2014,301
Kepler-1139 b,Kepler-1139,Transit,2016,1693
Kepler-1704 b,Kepler-1704,Transit,2013,253.8
K2-95 b,K2-95,Transit,2016,474
Kepler-204 b,Kepler-204,Transit,2014,828
Kepler-231 b,Kepler-231,Transit,2014,488
Kepler-1188 b,Kepler-1188,Transit,2016,775
HD 110082 b,HD 110082,Transit,2021,957.2
Kepler-1142 b,Kepler-1142,Transit,2016,902
Kepler-239 c,Kepler-239,Transit,2014,366
Kepler-82 e,Kepler-82,Transit,2014,926
Kepler-821 b,Kepler-821,Transit,2016,1215
XO-5 b,XO-5,Transit,2008,1230
GJ 9827 b,GJ 9827,Transit,2017,1035.01
GJ 367 b,GJ 367,Transit,2021,1365
Kepler-122 d,Kepler-122,Transit,2014,747
K2-16 c,K2-16,Transit,2015,485
TRAPPIST-1 h,TRAPPIST-1,Transit,2017,171.7
HD 169830 b,HD 169830,Radial Velocity,2000,345
Kepler-853 b,Kepler-853,Transit,2016,1187
NGTS-4 b,NGTS-4,Transit,2019,1650
Kepler-449 b,Kepler-449,Transit,2015,917
Kepler-1825 b,Kepler-1825,Transit,2021,1520
BD+05 4868 A b,BD+05 4868 A,Transit,2025,1820
Kepler-906 b,Kepler-906,Transit,2016,537
Kepler-1912 b,Kepler-1912,Transit,2021,976
Kepler-579 b,Kepler-579,Transit,2016,730
Kepler-1800 b,Kepler-1800,Transit,2021,1533
Kepler-1599 b,Kepler-1599,Transit,2016,407
Kepler-55 e,Kepler-55,Transit,2014,728
Kepler-1717 b,Kepler-1717,Transit,2021,780
TOI-431 d,TOI-431,Transit,2021,633
HATS-1 b,HATS-1,Transit,2012,1359
Kepler-735 b,Kepler-735,Transit,2016,657
GJ 341 b,GJ 341,Transit,2025,629
Kepler-1074 b,Kepler-1074,Transit,2016,568
TOI-6016 b,TOI-6016,Transit,2024,1890
Kepler-1278 b,Kepler-1278,Transit,2016,1213
Kepler-1558 b,Kepler-1558,Transit,2016,1019
TOI-5720 b,TOI-5720,Transit,2024,708
HD 25463 b,HD 25463,Transit,2023,1198.46
Kepler-204 c,Kepler-204,Transit,2014,683
HAT-P-39 b,HAT-P-39,Transit,2012,1752
Kepler-347 c,Kepler-347,Transit,2014,705
TOI-1260 c,TOI-1260,Transit,2021,651
TOI-3235 b,TOI-3235,Transit,2023,604
Kepler-203 d,Kepler-203,Transit,2014,855
Kepler-1730 b,Kepler-1730,Transit,2021,833
Kepler-1583 b,Kepler-1583,Transit,2016,788
Kepler-786 b,Kepler-786,Transit,2016,348
Kepler-306 e,Kepler-306,Transit,2014,390
TOI-181 b,TOI-181,Transit,2023,895.1
Kepler-1905 b,Kepler-1905,Transit,2021,1212
Kepler-1513 b,Kepler-1513,Transit,2016,346
Kepler-230 c,Kepler-230,Transit,2014,359
HATS-16 b,HATS-16,Transit,2016,1592
Kepler-1091 b,Kepler-1091,Transit,2016,1664
TOI-251 b,TOI-251,Transit,2021,1041.19
Kepler-1839 b,Kepler-1839,Transit,2021,1049
Kepler-1713 b,Kepler-1713,Transit,2021,900
K2-3 c,K2-3,Transit,2015,371.8
Kepler-295 b,Kepler-295,Transit,2014,741
OGLE2-TR-L9 b,OGLE2-TR-L9,Transit,2008,2034
HATS-3 b,HATS-3,Transit,2013,1648
Kepler-694 b,Kepler-694,Transit,2016,914
Kepler-150 d,Kepler-150,Transit,2014,734
Kepler-1994 b,Kepler-1994,Transit,2023,1032
Kepler-1121 b,Kepler-1121,Transit,2016,1008
Kepler-148 c,Kepler-148,Transit,2014,957
HATS-32 b,HATS-32,Transit,2016,1437
Kepler-466 c,Kepler-466,Transit,2016,1206
Kepler-547 b,Kepler-547,Transit,2016,768
Kepler-197 c,Kepler-197,Transit,2014,930
HAT-P-46 b,HAT-P-46,Transit,2014,1458
TOI-1244 b,TOI-1244,Transit,2024,714.86
CoRoT-36 b,CoRoT-36,Transit,2022,1567
Kepler-402 d,Kepler-402,Transit,2014,1006
WASP-38 b,WASP-38,Transit,2010,1250
Kepler-1488 c,Kepler-1488,Transit,2021,1212
Kepler-124 c,Kepler-124,Transit,2014,560
TOI-1478 b,TOI-1478,Transit,2021,918
Kepler-198 c,Kepler-198,Transit,2014,465
