pl_name,hostname,discoverymethod,disc_year,pl_eqt,st_teff
Kepler-145 c,Kepler-145,Transit,2013,709.0,6022.0
HAT-P-66 b,HAT-P-66,Transit,2016,1896.0,6002.0
Kepler-144 b,Kepler-144,Transit,2014,1253.0,6075.0
Kepler-251 e,Kepler-251,Transit,2014,360.0,5526.0
HD 101581 c,HIP 56998,Transit,2025,747.0,4633.0
HD 20329 b,HD 20329,Transit,2022,2141.0,5596.0
Kepler-1292 b,Kepler-1292,Transit,2016,1195.0,5556.0
Kepler-196 d,Kepler-196,Transit,2021,297.0,5128.0
Kepler-235 e,Kepler-235,Transit,2014,306.0,4255.0
Kepler-1906 b,Kepler-1906,Transit,2021,901.0,5723.0
HD 40307 c,HD 40307,Radial Velocity,2009,696.0,4977.0
Kepler-1013 b,Kepler-1013,Transit,2016,766.0,4954.0
HAT-P-29 b,HAT-P-29,Transit,2011,1271.0,6087.0
YZ Cet c,YZ Cet,Radial Velocity,2017,410.3,3056.0
Kepler-434 b,Kepler-434,Transit,2015,1000.0,5977.0
Kepler-405 b,Kepler-405,Transit,2014,785.0,5818.0
Kepler-1883 b,Kepler-1883,Transit,2021,416.0,5667.0
Kepler-1471 b,Kepler-1471,Transit,2016,1238.0,5500.0
Kepler-313 b,Kepler-313,Transit,2014,883.0,5727.0
Kepler-1442 b,Kepler-1442,Transit,2016,522.0,6394.0
Kepler-1421 b,Kepler-1421,Transit,2016,1209.0,6335.0
Kepler-292 d,Kepler-292,Transit,2014,808.0,5299.0
Kepler-692 b,Kepler-692,Transit,2016,639.0,5440.0
TIC 139270665 b,TIC 139270665,Transit,2024,703.0,5844.0
Kepler-1372 b,Kepler-1372,Transit,2016,1655.0,5677.0
Kepler-1193 b,Kepler-1193,Transit,2016,1453.0,5908.0
Kepler-205 c,Kepler-205,Transit,2014,389.0,4321.0
Kepler-1507 b,Kepler-1507,Transit,2016,630.0,5410.0
Kepler-838 b,Kepler-838,Transit,2016,777.0,5770.0
Kepler-702 b,Kepler-702,Transit,2016,713.0,5419.0
K2-332 b,K2-332,Transit,2021,266.0,3315.0
TOI-4214 b,TOI-4214,Transit,2025,1642.0,6370.0
Kepler-391 b,Kepler-391,Transit,2014,930.0,4940.0
Kepler-698 b,Kepler-698,Transit,2016,727.0,5612.0
Kepler-186 c,Kepler-186,Transit,2014,464.0,3755.0
TOI-1794 b,TOI-1794,Transit,2024,992.91,5707.0
TOI-3877 b,TOI-3877,Transit,2025,1445.0,5731.0
Kepler-339 b,Kepler-339,Transit,2014,1023.0,5631.0
Kepler-409 b,Kepler-409,Transit,2014,438.0,5460.0
Kepler-273 b,Kepler-273,Transit,2014,1209.0,5626.0
HIP 41378 b,HIP 41378,Transit,2016,959.0,6199.0
Kepler-1805 b,Kepler-1805,Transit,2021,479.0,3796.0
K2-286 b,K2-286,Transit,2018,347.0,3926.0
Kepler-370 b,Kepler-370,Transit,2014,1040.0,5852.0
TOI-125 b,TOI-125,Transit,2019,1037.0,5320.0
TOI-559 b,TOI-559,Transit,2021,1180.0,5925.0
pi Men c,HD 39091,Transit,2018,1169.8,6037.0
Kepler-150 c,Kepler-150,Transit,2014,876.0,5560.0
Kepler-224 c,Kepler-224,Transit,2014,758.0,5018.0
HATS-43 b,HATS-43,Transit,2018,1003.0,5099.0
Kepler-956 b,Kepler-956,Transit,2016,1056.0,6040.0
Kepler-1052 b,Kepler-1052,Transit,2016,522.0,5720.0
TOI-1437 b,TOI-1437,Transit,2024,794.23,6008.0
Kepler-685 b,Kepler-685,Transit,2016,1579.0,5963.0
Kepler-1405 b,Kepler-1405,Transit,2016,565.0,5925.0
Kepler-1699 b,Kepler-1699,Transit,2020,1010.0,5214.4
HAT-P-13 b,HAT-P-13,Transit,2009,1740.0,5638.0
HATS-63 b,HATS-63,Transit,2018,1398.3,5626.0
TOI-5795 b,TOI-5795,Transit,2025,1136.78,5715.0
Kepler-1152 b,Kepler-1152,Transit,2016,806.0,3964.0
Kepler-1391 b,Kepler-1391,Transit,2016,513.0,5840.0
TOI-2406 b,TOI-2406,Transit,2021,449.0,3100.0
Kepler-1813 b,Kepler-1813,Transit,2021,1059.0,5167.0
TOI-1174 b,TOI-1174,Transit,2024,713.83,5077.0
Kepler-156 b,Kepler-156,Transit,2014,867.0,5094.0
Kepler-425 b,Kepler-425,Transit,2014,1070.0,5170.0
WASP-66 b,WASP-66,Transit,2012,1569.7,6600.0
Kepler-275 b,Kepler-275,Transit,2014,1015.0,6165.0
Kepler-1271 b,Kepler-1271,Transit,2016,1484.0,6143.0
HATS-64 b,HATS-64,Transit,2018,1793.0,6560.0
Kepler-790 b,Kepler-790,Transit,2016,634.0,5208.0
TOI-2876 b,TOI-2876,Transit,2025,929.0,5271.0
Kepler-395 b,Kepler-395,Transit,2014,576.0,4262.0
Kepler-80 f,Kepler-80,Transit,2016,1054.0,4540.0
TOI-1011 b,TOI-1011,Transit,2025,1364.0,5475.0
TOI-1846 b,TOI-1846,Transit,2025,568.1,3568.0
Kepler-967 b,Kepler-967,Transit,2016,638.0,5178.0
K2-98 b,K2-98,Transit,2016,1185.0,6172.0
Kepler-113 c,Kepler-113,Transit,2014,628.0,4725.0
G 261-6 b,G 261-6,Radial Velocity,2025,322.3,2907.0
Kepler-219 b,Kepler-219,Transit,2014,1307.0,5786.0
Kepler-610 b,Kepler-610,Transit,2016,888.0,5943.0
K2-278 b,K2-278,Transit,2018,1711.0,6747.0
Kepler-297 c,Kepler-297,Transit,2014,409.0,5783.0
Kepler-1314 b,Kepler-1314,Transit,2016,625.0,4188.0
Kepler-1053 b,Kepler-1053,Transit,2016,953.0,4529.0
Kepler-33 e,Kepler-33,Transit,2011,752.0,5904.0
Kepler-1313 b,Kepler-1313,Transit,2016,1012.0,5453.0
Kepler-340 c,Kepler-340,Transit,2014,946.0,6620.0
Kepler-1163 b,Kepler-1163,Transit,2016,1211.0,6302.0
Kepler-1546 b,Kepler-1546,Transit,2016,671.0,5623.0
Kepler-123 b,Kepler-123,Transit,2014,817.0,6089.0
Kepler-1288 b,Kepler-1288,Transit,2016,2017.0,6132.0
Kepler-1030 b,Kepler-1030,Transit,2016,529.0,4983.0
Kepler-112 b,Kepler-112,Transit,2014,809.0,5544.0
Kepler-581 b,Kepler-581,Transit,2016,521.0,5772.0
Kepler-1261 b,Kepler-1261,Transit,2016,396.0,5006.0
Kepler-1077 b,Kepler-1077,Transit,2016,576.0,5816.0
Kepler-1451 b,Kepler-1451,Transit,2016,523.0,5782.0
Kepler-190 c,Kepler-190,Transit,2014,948.0,5106.0
Kepler-1431 b,Kepler-1431,Transit,2016,1064.0,5806.0
Kepler-1132 b,Kepler-1132,Transit,2016,384.0,5298.0
HD 260655 b,HD 260655,Transit,2022,709.0,3803.0
Kepler-216 c,Kepler-216,Transit,2014,814.0,6091.0
CoRoT-13 b,CoRoT-13,Transit,2010,1700.0,5945.0
WASP-171 b,WASP-171,Transit,2019,1642.0,5965.0
Kepler-80 c,Kepler-80,Transit,2012,495.0,4540.0
HATS-49 b,HATS-49,Transit,2020,834.8,4405.0
Kepler-925 b,Kepler-925,Transit,2016,394.0,4673.0
Kepler-1804 b,Kepler-1804,Transit,2021,913.0,4869.0
Kepler-1631 b,Kepler-1631,Transit,2016,1122.0,5679.0
Kepler-1893 b,Kepler-1893,Transit,2021,1194.0,5720.0
KELT-12 b,KELT-12,Transit,2017,1800.0,6330.0
Kepler-267 d,Kepler-267,Transit,2014,301.0,4258.0
Kepler-1139 b,Kepler-1139,Transit,2016,1693.0,5550.0
Kepler-1704 b,Kepler-1704,Transit,2013,253.8,5746.0
K2-95 b,K2-95,Transit,2016,474.0,3548.0
Kepler-204 b,Kepler-204,Transit,2014,828.0,5812.0
Kepler-231 b,Kepler-231,Transit,2014,488.0,3767.0
Kepler-1188 b,Kepler-1188,Transit,2016,775.0,5913.0
Kepler-1142 b,Kepler-1142,Transit,2016,902.0,5685.0
Kepler-239 c,Kepler-239,Transit,2014,366.0,4914.0
Kepler-82 e,Kepler-82,Transit,2014,926.0,5428.0
Kepler-821 b,Kepler-821,Transit,2016,1215.0,5191.0
XO-5 b,XO-5,Transit,2008,1230.0,5510.0
GJ 9827 b,GJ 9827,Transit,2017,1035.01,4255.0
Kepler-122 d,Kepler-122,Transit,2014,747.0,6050.0
K2-16 c,K2-16,Transit,2015,485.0,4761.0
TRAPPIST-1 h,TRAPPIST-1,Transit,2017,171.7,2560.0
HD 169830 b,HD 169830,Radial Velocity,2000,345.0,6266.0
Kepler-853 b,Kepler-853,Transit,2016,1187.0,6350.0
NGTS-4 b,NGTS-4,Transit,2019,1650.0,5143.0
Kepler-1825 b,Kepler-1825,Transit,2021,1520.0,5021.85
Kepler-906 b,Kepler-906,Transit,2016,537.0,6035.0
Kepler-1912 b,Kepler-1912,Transit,2021,976.0,5641.52
Kepler-579 b,Kepler-579,Transit,2016,730.0,5636.0
